agreement,agreement_pre_only_abstention,clarify_modeling__can_you,clarify_modeling__could_you,clarify_modeling__follow_up,clarify_modeling__frame_model,clarify_modeling__give_color,clarify_modeling__help_think,clarify_modeling__help_understand,clarify_modeling__how_do_think,clarify_modeling__how_should_think,clarify_modeling__if_you_could,clarify_modeling__talk_about,clarify_modeling__walk_through,clarify_modeling__wondering,clarify_modeling__wondering_if,clarify_modeling_lex_factor_pca1,event_key,lex_veto,overlap_group,qa_pair_count,question_lsa4_bi,sem_veto,tail_top1_coverage,tail_top1_direct_early,tail_top1_evasion,tail_top1_question_text,tail_top1_severity,target,ticker,year
1,-0.00021805432860611353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00021805432860611353,AAPL_2023_Q4,0,sem_only_veto,10.0,-0.00024798919567846833,1,0.257703,0.0,0.380507,"Very clear. And for my follow-up, I had a philosophical question. So you guys always try to provide the best experience for consumers. To that end, I think over the last decade, you in-sourced a lot of important chips in your phones and your Macs, iPads, so on and so forth. And that was, I think, a function that ARM wasn't around in the industry from a merchant angle. But now we see these -- the silicon guys, the chip guys moving to ARM architecture. So my question to you is, has the move to internal silicon been economically profitable proposition for Apple? Or is it a strategic one where you simply need to own this and it's vital to your products for the consumer experience? Or maybe there's a path back to chip vendors at some point in time?",3.198641,-0.00029034000000000004,AAPL,2023
1,-0.00017110745172678617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0002019072462699985,AMZN_2024_Q1,1,shared_veto,5.0,-0.0002019072462699985,1,0.145985,0.0,0.473198,"Maybe, Andy, I wanted to ask on international profitability, just after 1Q's 2.8% margin. Talk just about where we are in terms of international getting or to consistent profitability. We're following a similar trajectory as North America in terms of benefiting from regionalization shift, and we saw what average distance of each package traveled actually came down by 25 kilometers and whatnot. And if you could provide any insights on maybe how inbound fulfillment architecture might add to just continued benefits on faster shipping, same-day, next day, et cetera.",3.27101,-0.00020563,AMZN,2024
1,-0.0030603438670519425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0030603438670519425,AMZN_2024_Q3,0,sem_only_veto,6.0,-0.0031060600219006717,1,0.157609,0.933798,0.196889,"Maybe a couple of questions. Just on the cloud, are you at all capacity constrained, and will the new Trainium or NVIDIA chips maybe even drive sales growth faster? And then secondly, Andy, I know there's been some competition from some of the more traditional retailers growing quickly online. Maybe talk about maybe the advantages that Amazon has with a fulfillment center distribution versus store distribution? Any thoughts on that?",1.76694,-0.0031052700000000003,AMZN,2024
1,-0.0028862508971308504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0028862508971308504,CSCO_2024_Q3,1,lex_only_veto,8.0,-0.0028862508971308504,0,0.226891,0.0,0.361644,"One question, one small follow-up, and I think this has been the theme of the call. On the main question, actually for Scott, you've got leverage now that sits just under 1 turn, but the business now has a greater mix of recurring revenue, more visibility that, that naturally lends itself to. So I'm just wondering how you think about optimal leverage for the business and uses of excess cash from here? And then just on the follow-up, as we think about low to mid-singles growth next year, well aware of the backlog and the tougher comp that, that creates in fiscal 1Q of next year. Just as we unpack the networking assumptions, are you assuming normal demand and purchasing cadence returns next year once inventories have been digested? Or is there any incremental caution that's embedded there from a macro perspective?",3.218197,-0.00289537,CSCO,2024
1,-0.0007932704283965808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007932704283965808,DIS_2023_Q2,0,sem_only_veto,5.0,-0.0007774522796545787,1,0.110553,0.878788,0.291492,"Bob, integrating Hulu into the Disney+ app is intriguing, so I wanted to continue that conversation. When Disney+ was launched, you noted consumers should not have to buy through your entertainment content to get the Marvel and Star Wars and Disney and Pixar content. And you thought at the time having separate services to give consumers choice was the right approach. Is that still the right approach, to have multiple services to give consumer choice? And if the answer is yes, but you want the efficiency and flexibility of a single app, that would suggest that Disney+ is finally turning into a platform. And I'm just curious if you see the opportunity to broaden the number of subscriptions that can live on that Disney+ platform or if you can expand the monetization of that platform in other ways, while maintaining a premium experience for consumers. And if I could add one for Christine, is fiscal 3Q the peak for streaming losses?",2.410511,-0.0008044899999999999,DIS,2023
1,-0.00032252269479021744,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-0.00032252269479021744,DIS_2023_Q3,0,sem_only_veto,7.0,-0.0003266956090185664,1,0.246154,0.0,0.388396,"Bob, the linear business is clearly under pressure, and you made it clear recently that all options are being considered. I'm curious, though, what the practical considerations are of separating assets like ABC, National Geographic or others from both ESPN or sports or integrated or from Hulu, which is kind of the next-generation distribution platform. Can you talk about that? And then second, can we assume that most of those TV assets have been fully depreciated?",2.894628,-0.00028621,DIS,2023
1,-0.0007965768852361806,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007965768852361806,DIS_2023_Q4,0,sem_only_veto,5.0,-0.0007943160928094164,1,0.052632,0.0,0.449298,"Great. Maybe first, a follow-up to Ben's question. Bob, is there an opportunity for ESPN to add local sports rights given what's happening to the RSN model or potentially add sports rights to be distributed outside the U.S.? That's the first question. And then second question is Warner Bros. basically made some news recently by licensing some of their -- what would be considered some of their tentpole content, their DC universe to Netflix. Is that something you think that Disney can do or can lean into more -- at least more so than you're doing now without diluting the Disney brand or the Disney+ growth prospects?",3.518974,-0.00081067,DIS,2023
1,-0.00020061660944164865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,2.0,-0.00020244703623772855,IBM_2023_Q2,1,shared_veto,4.0,-0.00020244703623772855,1,0.231317,0.954106,0.198582,"Arvind, you noted some initial traction around AI, and I was wondering -- you guys have made a lot of major announcements around AI. Wondering if you can share some thoughts on AI monetization in the short to medium term. And any quantification, if possible, either in terms of dollars or growth rates or '23, '24 would be helpful. And if I could, Jim, you saw very strong transaction processing growth. You noted a few different items there. I was wondering if you could talk about how much of that is structural versus cyclical. And if transaction processing is growing this fast, does that drive upside to software revenue for the year? Or are there other areas that are offsetting? And if you could just reiterate if Red Hat, do you still expect that to grow 11% to 13%?",1.860907,-0.00022817,IBM,2023
1,-0.002390824555571991,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.002379369170179166,IBM_2023_Q4,1,lex_only_veto,5.0,-0.002390824555571991,0,0.054054,0.0,0.542432,"I guess my question will be focused on the software side. When I think about the calendar '24 guide of, I think, slightly above the mid-single-digit long-term -- medium-term target that you folks have, can you maybe talk about how do I think about the split between organic versus inorganic in '24? And if you could also perhaps unpack, what do you expect to see across some of the key segments like Red Hat that -- which I think was somewhat below your expectations in '23 and then also the TPP side would be really helpful?",3.70466,-0.0024170100000000003,IBM,2023
1,-0.0024637977863274643,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0024637977863274643,IBM_2024_Q2,0,sem_only_veto,4.0,-0.0024682026491393604,1,0.195876,0.0,0.396459,"Arvind, if we could pick up right where you left off there. Can you just give us a little more color on the decision to open up the Granite models and the code base? And then really what you're seeing in the market that makes you feel like taking maybe a more developer-focused approach to those? I think as you put it, fit-for-purpose models is the right long-term strategy.",2.9392,-0.00248249,IBM,2024
1,-0.00029962560949788,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.00029962560949788,MSFT_2024_Q2,1,lex_only_veto,5.0,-0.00029962560949788,0,0.030303,0.0,0.595758,"Is it possible to unpack the 6-point AI services tailwind just to help us understand which elements are ramped up by the 3 incremental points? For instance, is it more of the OpenAI inferencing, GitHub Copilot, other Copilots, the Azure OpenAI Service, third-party LLMs running on Azure? I'm just wondering where did you see the strongest step-up in that activity?",3.558359,-0.00026371,MSFT,2024
1,-5.656346245460318e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,-6.61479446491546e-05,MSFT_2024_Q3,1,shared_veto,4.0,-6.61479446491546e-05,1,0.198142,0.981481,0.257445,"Satya and Amy, congrats on these outstanding Azure results. I'd love to hone in a little bit on the 7 point lift to Azure growth from AI, outstanding number, but it's leveling off a little bit from 6 points in December. I'm wondering if you could unpack that a little bit. To what extent did the capacity issues that you Amy highlighted on the call impact that number. Is there any seasonality? I wouldn't think so. Or any other factor that can swing around that number that you'd advise us to keep in mind?",1.873809,-6.798999999999999e-05,MSFT,2024
1,-9.866983932981964e-05,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.866983932981964e-05,MSFT_2025_Q1,0,sem_only_veto,6.0,-8.742326245191404e-05,1,0.089286,0.0,0.5375,"Congratulations on the quarter. The question every investor obviously asks is a question on the CapEx growth and the CapEx spend. Obviously, half of that facility is an equivalent that have a longer life, but the other half is the rest of the components. Can you give any color on how you think of that growth? Does it return to the traditional approach, where basically CapEx is going to grow in line or slightly slower than cloud revenue? And if so, any sense of the timing? Do we have enough facilities online by sometime next year, et cetera? Any color would be appreciated.",3.702368,-8.101e-05,MSFT,2025
1,-0.0017118900027341525,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.0017570239302036224,NKE_2023_Q1,1,shared_veto,5.0,-0.0017570239302036224,1,0.015152,0.0,0.597879,"Matt, I was just wondering if you -- to clarify 1 simple thing, you said North America inventory peaked in first quarter. Could you clarify that the total company inventory starts to decline on a year-over-year basis after this? Maybe some of the visibility you have into the back half related to how you're building it after your comment that 2Q will be the low watermark on gross margins. And then, John, I know it's a very different macro but the comments you guys just made for fiscal '24 and beyond. Any reflection on the 5-year targets that you gave us a year ago, some of the growth rates and year-over-year margin opportunities as we get past this year relative to that plan?",4.003597,-0.0017457800000000002,NKE,2023
1,-0.001531369580447155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001531369580447155,NKE_2023_Q2,0,sem_only_veto,6.0,-0.0015194061019726704,1,0.327345,0.943709,0.222052,"Congrats on a great quarter. I know it's a lot of heavy lifting. And maybe a simple question, how do you feel on North America inventory in the channel? I know you moved a mountain, but you have a big wholesale business. It's hard for us to track inventory once it leaves your books. Are we past the peak promotions in the U.S.? Is this the highest level of promotions in your view? It would seem so based on some of the inventory comments you gave on the U.S. I just wanted to check that. And then I guess as you start to come out of some of the recent volatility, maybe you can help us connect back to your longer-term targets, in particular, the path to the high teens EBIT margins and the major input to getting there, the D2C versus wholesale transition since we don't get many numbers reported on the margins between those 2 channels. How would you tell us to think about building our understanding into how you get there from here because that seems like the next part of the NIKE story?",1.864732,-0.00153212,NKE,2023
1,-0.006994780066211241,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006994780066211241,NVDA_2023_Q1,0,sem_only_veto,7.0,-0.007027510350771473,1,0.134503,0.0,0.375478,"I wanted to follow up on the sequential. So Colette, I know you said the $500 million was a $400 million hit to Gaming and a $100 million hit to data. So I'm assuming, that doesn't mean the Gaming is down $400 million. I mean, is Gaming -- do you see Gaming actually down more than the actual Russia and lockdown hit? And I guess just how do I think about the relative sequentials of the businesses in light of those constraints that you guys are facing?",3.100849,-0.00705162,NVDA,2023
