event_key,first_person_share,followup_marker_count,hedge_share,label,modal_share,mse_gain_vs_hard,numeric_token_share,question_mark_count,second_person_share,sentence_like_count,tail_top1_question_text,ticker,token_count,year
AAPL_2023_Q4,0.0425531914893617,0.0,0.02127659574468085,positive,0.0,3.4316276621842726e-09,0.0,3.0,0.04964539007092199,9.0,"Very clear. And for my follow-up, I had a philosophical question. So you guys always try to provide the best experience for consumers. To that end, I think over the last decade, you in-sourced a lot of important chips in your phones and your Macs, iPads, so on and so forth. And that was, I think, a function that ARM wasn't around in the industry from a merchant angle. But now we see these -- the silicon guys, the chip guys moving to ARM architecture. So my question to you is, has the move to internal silicon been economically profitable proposition for Apple? Or is it a strategic one where you simply need to own this and it's vital to your products for the consumer experience? Or maybe there's a path back to chip vendors at some point in time?",AAPL,141.0,2023
AMGN_2023_Q2,0.01935483870967742,0.0,0.05161290322580645,flat,0.01935483870967742,0.0,0.0064516129032258064,3.0,0.025806451612903226,6.0,"Maybe just two quick ones for me. Firstly, in terms of the rebound in Otezla and the good strength that seems to be coming out of some of the trialing periods for competitive products on the topical side and also oral side. Can you just maybe provide whatever response makes sense to your competitors' analysis on the oral side suggesting they've achieved over 40% TRx share? And whether you think that share could go back in favor of Otezla during the back half of this year? Or is that something you would see steady state from here on out? And then secondly, just regarding the Phase II of tarlatamab, is there anything we need to be aware of that maybe the patient population in this Phase II small cell lung cancer study was maybe less heavier -- less heavily pretreated as opposed to what was seen in the Phase I study, which is sometimes the case.",AMGN,155.0,2023
AMGN_2024_Q1,0.029411764705882353,0.0,0.0,flat,0.029411764705882353,0.0,0.0392156862745098,3.0,0.049019607843137254,8.0,"I'll spare all my curiosities on your ongoing trial. But I will ask this. One, on manufacturing capacity. I'm curious, is your aim to have 1 million to 2 million patients worth of capacity or 5 million to 10 million? You can imagine from a modeling perspective, from a CapEx side, this would be relevant, knowing obviously how much manufacturing experience and capacity you guys have. And then secondly, the -- is it a pen device? I know you mentioned it's a ""handheld patient-friendly auto-injector"" which is a single injection. But is it a pen device or is it something else?",AMGN,102.0,2024
AMGN_2024_Q3,0.015748031496062992,0.0,0.05511811023622047,flat,0.007874015748031496,0.0,0.0,1.0,0.023622047244094488,6.0,"Just back on PAVBLU. We've gotten some interesting doc feedback on this with a decent amount of receptivity to this option. And one thing that's kind of a new development, I think, at least in the U.S. market has been a recent supply disruption to Avastin which may actually provide maybe more of an opening for this launch. Maybe just curious, as you looked at the market, talk about how you looked at the role of biosimilars in this predominantly buy and bill market with a very inexpensive option on Avastin, but one that seems to be fading at least in terms of suppliers wanting to provide the drug I guess, bottom line, does this Avastin supply issue make this even more interesting to you guys?",AMGN,127.0,2024
AMZN_2024_Q1,0.03296703296703297,0.0,0.054945054945054944,positive,0.02197802197802198,1.1779474439421387e-09,0.04395604395604396,0.0,0.01098901098901099,5.0,"Maybe, Andy, I wanted to ask on international profitability, just after 1Q's 2.8% margin. Talk just about where we are in terms of international getting or to consistent profitability. We're following a similar trajectory as North America in terms of benefiting from regionalization shift, and we saw what average distance of each package traveled actually came down by 25 kilometers and whatnot. And if you could provide any insights on maybe how inbound fulfillment architecture might add to just continued benefits on faster shipping, same-day, next day, et cetera.",AMZN,91.0,2024
AMZN_2024_Q3,0.014285714285714285,0.0,0.07142857142857142,positive,0.014285714285714285,2.017733287063021e-09,0.0,3.0,0.014285714285714285,5.0,"Maybe a couple of questions. Just on the cloud, are you at all capacity constrained, and will the new Trainium or NVIDIA chips maybe even drive sales growth faster? And then secondly, Andy, I know there's been some competition from some of the more traditional retailers growing quickly online. Maybe talk about maybe the advantages that Amazon has with a fulfillment center distribution versus store distribution? Any thoughts on that?",AMZN,70.0,2024
CSCO_2024_Q1,0.012048192771084338,0.0,0.03614457831325301,flat,0.0,0.0,0.024096385542168676,4.0,0.012048192771084338,7.0,"I just have 2. First, on the AI orders, $1 billion. What's the feedback from the hyperscalers on your improving position with these customers relative to a few years ago? Is it selling in a more disaggregated fashion with Silicon One? Is it a desire for silicon diversification? And then the second question, just as a follow-up on the order slowdown. Was that more concentrated in the campus with wireless LAN and wired or data center or both, just within enterprise, specifically?",CSCO,83.0,2024
CSCO_2024_Q3,0.020689655172413793,0.0,0.05517241379310345,flat,0.0,0.0,0.013793103448275862,3.0,0.013793103448275862,6.0,"One question, one small follow-up, and I think this has been the theme of the call. On the main question, actually for Scott, you've got leverage now that sits just under 1 turn, but the business now has a greater mix of recurring revenue, more visibility that, that naturally lends itself to. So I'm just wondering how you think about optimal leverage for the business and uses of excess cash from here? And then just on the follow-up, as we think about low to mid-singles growth next year, well aware of the backlog and the tougher comp that, that creates in fiscal 1Q of next year. Just as we unpack the networking assumptions, are you assuming normal demand and purchasing cadence returns next year once inventories have been digested? Or is there any incremental caution that's embedded there from a macro perspective?",CSCO,145.0,2024
DIS_2023_Q2,0.012422360248447204,1.0,0.006211180124223602,negative,0.031055900621118012,-6.051595345129582e-10,0.006211180124223602,2.0,0.037267080745341616,7.0,"Bob, integrating Hulu into the Disney+ app is intriguing, so I wanted to continue that conversation. When Disney+ was launched, you noted consumers should not have to buy through your entertainment content to get the Marvel and Star Wars and Disney and Pixar content. And you thought at the time having separate services to give consumers choice was the right approach. Is that still the right approach, to have multiple services to give consumer choice? And if the answer is yes, but you want the efficiency and flexibility of a single app, that would suggest that Disney+ is finally turning into a platform. And I'm just curious if you see the opportunity to broaden the number of subscriptions that can live on that Disney+ platform or if you can expand the monetization of that platform in other ways, while maintaining a premium experience for consumers. And if I could add one for Christine, is fiscal 3Q the peak for streaming losses?",DIS,161.0,2023
DIS_2023_Q3,0.012987012987012988,1.0,0.012987012987012988,negative,0.025974025974025976,-3.2047273467673814e-10,0.0,2.0,0.025974025974025976,4.0,"Bob, the linear business is clearly under pressure, and you made it clear recently that all options are being considered. I'm curious, though, what the practical considerations are of separating assets like ABC, National Geographic or others from both ESPN or sports or integrated or from Hulu, which is kind of the next-generation distribution platform. Can you talk about that? And then second, can we assume that most of those TV assets have been fully depreciated?",DIS,77.0,2023
